utc time,sun zenith [deg],sun azimuth [deg],sat zenith [deg],sat azimuth [deg],scattering angle [deg],sat ENU coordinates [km],lookat ENU coordinates [km]
0,145.0096961,32.66040686,53.79073986,168.2845989,131.4565291,"[-747.0192973519828, 154.90968187426196, 558.5566065715161]","[0, 0, 0]"
0,145.0096961,32.66040686,46.80761695,168.2887422,164.3117363,"[-598.0635548184598, 123.97556415885795, 573.4060845657399]","[0, 0, 0]"
20,144.9649377,32.76884068,46.80730693,168.2883477,168.0866151,"[-598.0567661001194, 123.97845132265807, 573.406611840603]","[0, 0, 0]"
20,144.9649377,32.76884068,38.08244874,168.2938022,46.64839629,"[-448.8100418318353, 92.99472340783404, 584.915642009232]","[0, 0, 0]"
40,144.9200476,32.87698831,38.08206148,168.2932769,44.60981619,"[-448.80324361020297, 92.99760607614382, 584.9160362522249]","[0, 0, 0]"
40,144.9200476,32.87698831,27.26766073,168.3001718,143.7888541,"[-299.33580101249413, 61.98852817129708, 593.0786808718843]","[0, 0, 0]"
60,144.8750263,32.98485001,27.2671864,168.2993851,142.3032286,"[-299.3289964877293, 61.99140538428794, 593.078941869625]","[0, 0, 0]"
60,144.8750263,32.98485001,14.34343294,168.3082419,121.901359,"[-149.7112268082368, 30.981246032975818, 597.8909110891838]","[0, 0, 0]"
80,144.8298744,33.09242602,14.34288271,168.3066713,119.7681916,"[-149.70441918382596, 30.984116832822444, 597.8910386885069]","[0, 0, 0]"
80,144.8298744,33.09242602,0.000706003,-157.1870284,18.14914776,"[-0.006807518823276041, -0.002863431122590555, 599.3496932906316]","[0, 0, 0]"
100,144.7845923,33.19971663,0,-55.49147701,15.54607937,"[8.003553375601768e-14, -1.1641532182693482e-13, 599.3496873986863]","[0, 0, 0]"
100,144.7845923,33.19971663,14.3523476,-11.67678818,92.39390393,"[149.70690877613927, -30.939564997461304, 597.4540406750672]","[0, 0, 0]"
120,144.7391806,33.30672211,14.35289856,-11.67522416,95.18286727,"[149.7137129839675, -30.936709888086423, 597.4539012593838]","[0, 0, 0]"
120,144.7391806,33.30672211,27.30100559,-11.66518541,116.524486,"[299.35934834653966, -61.804664130023944, 592.2046199974211]","[0, 0, 0]"
140,144.6936397,33.41344273,27.30148099,-11.66440539,119.0758405,"[299.3661460393269, -61.801818292643674, 592.2043470859597]","[0, 0, 0]"
140,144.6936397,33.41344273,38.14391031,-11.65292655,22.45837766,"[448.87994597725435, -92.57402328864838, 583.6037516659845]","[0, 0, 0]"
160,144.6479702,33.51987879,38.14429861,-11.65240798,23.673438,"[448.8867339539203, -92.5711876704336, 583.6033453471609]","[0, 0, 0]"
160,144.6479702,33.51987879,46.89408132,-11.63961835,162.3934595,"[598.1981791489519, -123.22357820874159, 571.6554089495222]","[0, 0, 0]"
180,144.6021726,33.62603057,46.8943922,-11.63923061,164.6226542,"[598.2049542128595, -123.22075375351558, 571.6548693721601]","[0, 0, 0]"
180,144.6021726,33.62603057,53.89734854,-11.62518066,153.0181535,"[747.2436022142969, -153.72935412860969, 556.3652162948018]","[0, 0, 0]"
200,144.5562472,33.7318984,53.89759796,-11.62487149,152.2786893,"[747.250361174816, -153.72654177659768, 556.3645436681052]","[0, 0, 0]"
200,144.5562472,33.7318984,59.548133,-11.60958509,171.0130752,"[895.9458805486028, -184.06748196700124, 537.74044675542]","[0, 0, 0]"
220,144.5101948,33.83748256,59.54833575,-11.60932837,171.8850896,"[895.9526202227305, -184.06468265453734, 537.7396413488723]","[0, 0, 0]"
220,144.5101948,33.83748256,64.17930955,-11.59281773,77.22515523,"[1044.2348246542354, -214.21421442868885, 515.7900185339512]","[0, 0, 0]"
